ID,RefID,SurveyorName,TimeStamp,PDVRefID,PDVIMG,OlaID
846865,270520763,kotr_cr_10012,2022-02-04 20:56:23.977000000,1540021411,https://s3.amazonaws.com/repositorio-unico/004/712a8f0d-5e0c-4418-aff3-2d18e724b2d0/270520763/KO_TRAD_CR_202202-PDVF-270520763%2B1.jpg,84
846866,270516989,kotr_cr_10012,2022-02-04 20:56:23.977000000,1500724339,https://s3.amazonaws.com/repositorio-unico/004/712a8f0d-5e0c-4418-aff3-2d18e724b2d0/270516989/KO_TRAD_CR_202202-PDVF-270516989%2B1.jpg,84
846867,270519506,kotr_cr_10012,2022-02-04 20:56:23.977000000,1500116512,https://s3.amazonaws.com/repositorio-unico/004/712a8f0d-5e0c-4418-aff3-2d18e724b2d0/270519506/KO_TRAD_CR_202202-PDVF-270519506%2B1.jpg,84
846868,270520794,kotr_cr_10012,2022-02-04 20:56:23.977000000,1500148096,https://s3.amazonaws.com/repositorio-unico/004/712a8f0d-5e0c-4418-aff3-2d18e724b2d0/270520794/KO_TRAD_CR_202202-PDVF-270520794%2B1.jpg,84
846869,270520530,kotr_cr_10012,2022-02-04 20:56:23.977000000,1500739876,https://s3.amazonaws.com/repositorio-unico/004/712a8f0d-5e0c-4418-aff3-2d18e724b2d0/270520530/KO_TRAD_CR_202202-PDVF-270520530%2B3.jpg,84
846870,270521020,kotr_cr_10012,2022-02-04 20:56:23.977000000,1500720704,https://s3.amazonaws.com/repositorio-unico/004/712a8f0d-5e0c-4418-aff3-2d18e724b2d0/270521020/KO_TRAD_CR_202202-PDVF-270521020%2B1.jpg,84
846871,270522533,kotr_cr_10006,2022-02-04 20:56:23.977000000,1540025978,https://s3.amazonaws.com/repositorio-unico/004/712a8f0d-5e0c-4418-aff3-2d18e724b2d0/270522533/KO_TRAD_CR_202202-PDVF-270522533%2B1.jpg,84
846872,270530749,kotr_cr_10011,2022-02-04 20:56:23.977000000,1500614500,https://s3.amazonaws.com/repositorio-unico/004/712a8f0d-5e0c-4418-aff3-2d18e724b2d0/270530749/KO_TRAD_CR_202202-PDVF-270530749%2B1.jpg,84
846875,270530965,kotr_gta_10008,2022-02-04 20:56:23.977000000,7808090061,https://s3.amazonaws.com/repositorio-unico/004/e7df9564-4152-49de-b89a-04b13ac6de73/270530965/KO_TRAD_ABVO_GT_202202-PDVF-270530965%2B2.jpg,84
846879,270531155,kotr_hn_10007,2022-02-04 20:56:23.977000000,8001824037,https://s3.amazonaws.com/repositorio-unico/004/078a6aad-a3f0-4616-aed8-cd610ffae56f/270531155/KO_TRAD_HN_202202-PDVF-270531155%2B1.jpg,84
