,Unnamed: 0,Unnamed: 0.1,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name
51,51,55,3371143-(2007 EO88),False,13.9493822934,31.1917670523,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.922980,Earth,9.8910525391,35607.7891408843,An asteroid orbit contained entirely within the orbit of the Eart,3371143,(2007 EO88)
52,52,56,2230111-230111 (2001 BE10),True,402.3045798343,899.5803881691,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.936780,Earth,16.2693534256,58569.6723322741,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2230111,230111 (2001 BE10)
53,53,57,2002062-2062 Aten (1976 AA),False,1010.5434154201,2259.643771094,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.875040,Earth,10.3240519745,37166.5871082511,Near Earth asteroid orbits similar to that of 1221 Amor,2002062,2062 Aten (1976 AA)
54,54,58,3515451-(2010 GV23),False,8.0270316728,17.948988478,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.908040,Earth,6.4940324303,23378.5167492441,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3515451,(2010 GV23)
55,55,60,3766324-(2017 AY3),False,201.6299194428,450.8582061718,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.890520,Earth,15.7875149268,56835.0537363864,Near Earth asteroid orbits similar to that of 2062 Aten,3766324,(2017 AY3)
56,56,61,3837932-(2019 AY13),False,84.0533402073,187.9489824394,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.938520,Earth,18.2560546111,65721.7966001058,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3837932,(2019 AY13)
57,57,62,3837973-(2019 BO1),False,319.5618867213,714.5621017269,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.905580,Earth,12.4614908455,44861.3670436585,Near Earth asteroid orbits similar to that of 2062 Aten,3837973,(2019 BO1)
58,58,63,2152964-152964 (2000 GP82),False,766.5755735311,1714.1150923063,1995-01-13 00:00:00.000000,1970-01-01 00:13:10.001100,Earth,10.7348065466,38645.3035676534,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2152964,152964 (2000 GP82)
59,59,64,3263533-(2004 XG29),False,23.150212221,51.7654482198,1995-01-13 00:00:00.000000,1970-01-01 00:13:10.006500,Earth,17.1620093391,61783.2336206074,Near Earth asteroid orbits similar to that of 1221 Amor,3263533,(2004 XG29)
60,60,65,3736819-(2015 YE),False,55.5334911581,124.1766612574,1995-01-13 00:00:00.000000,1970-01-01 00:13:10.009800,Earth,18.7825458444,67617.1650396737,An asteroid orbit contained entirely within the orbit of the Eart,3736819,(2015 YE)
61,61,66,3361551-(2006 WR127),False,231.5021222103,517.6544821978,1995-01-13 00:00:00.000000,1970-01-01 00:13:10.010940,Earth,21.5193423706,77469.6325340826,Near Earth asteroid orbits similar to that of 2062 Aten,3361551,(2006 WR127)
62,62,67,3704145-(2015 AB246),False,80.2703167283,179.4898847799,1995-01-13 00:00:00.000000,1970-01-01 00:13:09.962340,Earth,11.5094811181,41434.1320250948,Near Earth asteroid orbits similar to that of 2062 Aten,3704145,(2015 AB246)
63,63,68,3314052-(2006 BO55),False,211.1324447897,472.1064988055,1995-01-13 00:00:00.000000,1970-01-01 00:13:09.993720,Earth,12.6021862577,45367.8705278892,An asteroid orbit contained entirely within the orbit of the Eart,3314052,(2006 BO55)
64,64,69,2526742-526742 (2006 WR127),False,231.5021222103,517.6544821978,1995-01-13 00:00:00.000000,1970-01-01 00:13:10.010940,Earth,21.5193382684,77469.6177664031,Near Earth asteroid orbits similar to that of 2062 Aten,2526742,526742 (2006 WR127)
65,65,70,3117420-(2002 EY2),True,366.9061375314,820.4270648822,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.703140,Earth,18.9235619734,68124.8231042537,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3117420,(2002 EY2)
66,66,71,3620667-(2012 XP111),False,53.0340723319,118.5877908577,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.730620,Earth,3.7998353604,13679.4072975604,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3620667,(2012 XP111)
67,67,72,2163023-163023 (2001 XU1),False,366.9061375314,820.4270648822,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.728400,Earth,15.8881862568,57197.470524376,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2163023,163023 (2001 XU1)
68,68,73,3366004-(2007 AA9),False,88.0146520901,196.8067450894,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.760140,Earth,24.2888578981,87439.8884332712,Near Earth asteroid orbits similar to that of 1221 Amor,3366004,(2007 AA9)
69,69,74,3429684-(2008 TZ),False,22.1082810359,49.435619262,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.762000,Earth,14.7612903218,53140.6451584192,An asteroid orbit contained entirely within the orbit of the Eart,3429684,(2008 TZ)
70,70,77,3556126-(2011 BM45),True,127.2198785394,284.4722965033,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.702540,Earth,21.9477292873,79011.8254344272,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3556126,(2011 BM45)
71,71,78,2526798-526798 (2007 AA9),False,88.0146520901,196.8067450894,1995-01-10 00:00:00.000000,1970-01-01 00:13:09.760140,Earth,24.2888578457,87439.8882443566,An asteroid orbit contained entirely within the orbit of the Eart,2526798,526798 (2007 AA9)
