,Unnamed: 0,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description
34,38,54016806-(2020 HT7),False,11.2345317672,25.1211767268,1995-01-02 00:00:00.000000,1970-01-01 00:13:09.018840,earth,7.1500141326,25740.0508773213, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
35,39,3842683-(2019 LO),False,8.0270316728,17.948988478,1995-01-09 00:00:00.000000,1970-01-01 00:13:09.627180,earth,7.6152812259,27415.0124133414,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
36,40,3366282-(2007 BD),False,22.1082810359,49.435619262,1995-01-09 00:00:00.000000,1970-01-01 00:13:09.652920,earth,23.3997220939,84238.9995379446, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
37,41,3544935-(2010 PW58),True,121.4940407996,271.6689340891,1995-01-09 00:00:00.000000,1970-01-01 00:13:09.669240,earth,11.1607357991,40178.6488767589,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
38,42,3797669-(2018 AW11),False,17.561231848,39.2681081809,1995-01-09 00:00:00.000000,1970-01-01 00:13:09.667320,earth,5.7808744202,20811.1479127669, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
39,43,3735599-(2015 WA13),False,16.0160337979,35.8129403019,1995-01-09 00:00:00.000000,1970-01-01 00:13:09.674400,earth,8.1492924834,29337.4529404107, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
40,44,3102756-(2002 AO11),False,76.6575573531,171.4115092306,1995-01-14 00:00:00.000000,1970-01-01 00:13:10.066980,earth,11.6500973732,41940.3505436064, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
41,45,2434632-434632 (2005 WE),False,291.4439045349,651.6883821679,1995-01-14 00:00:00.000000,1970-01-01 00:13:10.046160,earth,10.1296631155,36466.7872158652,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
42,46,3457846-(2009 HG21),False,26.58,59.4346868419,1995-01-14 00:00:00.000000,1970-01-01 00:13:10.084260,earth,13.7000461198,49320.1660312508, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
43,47,2495323-495323 (2014 JG78),False,319.5618867213,714.5621017269,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.212960,earth,10.8088500572,38911.8602059758, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
44,48,2510055-510055 (2010 FH81),True,127.2198785394,284.4722965033,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.138380,earth,9.8408312207,35426.9923944775,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
45,49,3514799-(2010 FH81),True,127.2198785394,284.4722965033,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.156800,earth,9.8408316738,35426.9940257225, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
46,50,3671135-(2014 JG78),False,319.5618867213,714.5621017269,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.156800,earth,10.8088439585,38911.83825064,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
47,51,3092506-(2001 WJ4),False,8.801465209,19.6806745089,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.160880,earth,11.1738744976,40225.948191338,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
48,52,3761747-(2016 UO41),False,35.0392641108,78.3501764334,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.154820,earth,10.3790222165,37364.4799793748,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
49,53,3709080-(2015 BV510),False,211.1324447897,472.1064988055,1995-01-15 00:00:00.000000,1970-01-01 00:13:10.182960,earth,32.1281627776,115661.385999198, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
50,54,3485806-(2010 AL60),False,88.0146520901,196.8067450894,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.894300,earth,11.6706583618,42014.3701023385, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
51,55,3371143-(2007 EO88),False,13.9493822934,31.1917670523,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.922980,earth,9.8910525391,35607.7891408843, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
52,56,2230111-230111 (2001 BE10),True,402.3045798343,899.5803881691,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.936780,earth,16.2693534256,58569.6723322741,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
53,57,2002062-2062 Aten (1976 AA),False,1010.5434154201,2259.643771094,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.875040,earth,10.3240519745,37166.5871082511, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
54,58,3515451-(2010 GV23),False,8.0270316728,17.948988478,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.908040,earth,6.4940324303,23378.5167492441,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
55,60,3766324-(2017 AY3),False,201.6299194428,450.8582061718,1995-01-12 00:00:00.000000,1970-01-01 00:13:09.890520,earth,15.7875149268,56835.0537363864,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
